产品名称,航线,订座舱位,上浮价格,政策返点,产品代码,票证类型,出票OFFICE,备注,产品有限期,航司结算方式,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,上浮/下浮价格,政策返点（后返+车辆后返+代理费),上浮价格/直减,结算方式
3U里程加享,所有航线,H-N舱公布运价+100元，LTMC+100+舱位代码,100,40,LTMC+100+舱位代码,GP/BSP,KMG319/KMG279/CTU152,赠送额外1000里程,有效,,,,,,,,,,,,,,,,,,,,,
3U里程加享,所有航线,H-N舱公布运价+150元，LTMC+150+舱位代码,150,60,LTMC+150+舱位代码,GP/BSP,KMG319/KMG279/CTU152,赠送额外1500里程,有效,,,,,,,,,,,,,,,,,,,,,
3U里程加享,所有航线,G-N舱公布运价+200元，LTMC+200+舱位代码,200,80,LTMC+200+舱位代码,GP/BSP,KMG319/KMG279/CTU152,赠送额外2000里程,有效,,,,,,,,,,,,,,,,,,,,,
3U机+接送车,所有航线,I/J  舱位代码+ZX,300,200,舱位代码+ZX,GP/BSP,KMG319/KMG279/CTU152,服务商提供接送机,有效,,,,,,,,,,,,,,,,,,,,,
3U机+优先选座,所有航线,W舱  YW5+舱位代码,T-N舱公布运价+5%Y舱公布运价,15,YW5+舱位代码,GP/BSP,KMG319/KMG279/CTU152,航班起飞48小时之前优先选座,有效,,,,,,,,,,,,,,,,,,,,,
3U机+休息室,川航部分航点始发 国内航线 机+休息室,W舱  YGB+TFU+舱位代码,200,50,YGB+TFU+舱位代码,GP/BSP,KMG319/KMG279/CTU152,川航天府出港国内航线,有效,,,,,,,,,,,,,,,,,,,,,
3U机+休息室,赠送重庆机场川航自营休息室一次,W舱 YGB+CKG+舱位代码,110,50,YGB+CKG+舱位代码,GP/BSP,KMG319/KMG279/CTU152,川航重庆出港国内航线,有效,,,,,,,,,,,,,,,,,,,,,
3U 礼遇加享(机+X),所有航线,T/H/G/L/E/R/ K/N  QF+40+舱位代码,40,20+按段,QF+40+舱位代码,GP/BSP,KMG319/KMG279/CTU152,服务商提供自有服务,有效,,,,,,,,,,,,,,,,,,,,,
3U 礼遇加享(机+X),所有航线,T/H/G/L/E/R/ K/N  QF+80+舱位代码,80,40+按段,QF+80+舱位代码,GP/BSP,KMG319/KMG279/CTU152,服务商提供自有服务,有效,,,,,,,,,,,,,,,,,,,,,
3U优惠退票,优惠退票,H/G/L/E/R/K/N,180,100+按段,YHTP+舱位代码,GP/BSP,KMG319/KMG279/CTU152,"自愿退票时间在航班计划离站时间72小时
（含）前，退票费率按照航班计划离站时间
168小时（含）前费率执行",有效,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
