航司,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效截止日期,创建人,创建时间
9H长安,悦享经济舱,"XIY-SYX
SYX-XIY
CSX-HRB
HRB-CSX",H/K/L/M/X/V/N/A/U/T（含小舱位）,220元,固定值,,,0,,WXJB,BSP/GP,KMG319/KMG279,"1.免费托运行李额20KG；
2.可免费携带一件7KG且体积不超过20cm*40cm*55cm的非托运行李；
3.客票变更手续费优惠（见自愿变更条款）；
4.积分标准为125%×K；
5.享受会员定级航段标准为1.5个。1.经济舱前三排座位；
2.专属值机柜台（仅限西安机场N21-N23柜台）；
3.优先登机服务(以机场实际保障为准);
4.西安机场贵宾室服务；
5.客舱姓氏尊称服务；
7.饮品",有效,,
9H长安,悦享经济舱,"XIY-SYX
SYX-XIY
CSX-HRB
HRB-CSX",H/K/L/M/X/V/N/A/U/T（含小舱位）,330元,固定值,,,0,,WGCA,BSP/GP,KMG319/KMG279,"1.免费托运行李额20KG；
2.可免费携带一件7KG且体积不超过20cm*40cm*55cm的非托运行李；
3.客票变更手续费优惠（见自愿变更条款）；
4.积分标准为125%×K；
5.享受会员定级航段标准为1.5个。1.经济舱前三排座位；
2.专属值机柜台（仅限西安机场N21-N23柜台）；
3.优先登机服务(以机场实际保障为准);
4.西安机场贵宾室服务；
5.客舱姓氏尊称服务；
8.饮品",有效,,
9H长安,悦享经济舱,"XIY-SYX
SYX-XIY
CSX-HRB
HRB-CSX",H/K/L/M/X/V/N/A/U/T（含小舱位）,410元,固定值,,,0,,WGCB,BSP/GP,KMG319/KMG279,"1.免费托运行李额20KG；
2.可免费携带一件7KG且体积不超过20cm*40cm*55cm的非托运行李；
3.客票变更手续费优惠（见自愿变更条款）；
4.积分标准为125%×K；
5.享受会员定级航段标准为1.5个。1.经济舱前三排座位；
2.专属值机柜台（仅限西安机场N21-N23柜台）；
3.优先登机服务(以机场实际保障为准);
4.西安机场贵宾室服务；
5.客舱姓氏尊称服务；
9.饮品",有效,,
9H长安,悦享经济舱,"XIY-SYX
SYX-XIY
CSX-HRB
HRB-CSX",H/K/L/M/X/V/N/A/U/T（含小舱位）,550元,固定值,,,0,,WGCC,BSP/GP,KMG319/KMG279,"1.免费托运行李额20KG；
2.可免费携带一件7KG且体积不超过20cm*40cm*55cm的非托运行李；
3.客票变更手续费优惠（见自愿变更条款）；
4.积分标准为125%×K；
5.享受会员定级航段标准为1.5个。1.经济舱前三排座位；
2.专属值机柜台（仅限西安机场N21-N23柜台）；
3.优先登机服务(以机场实际保障为准);
4.西安机场贵宾室服务；
5.客舱姓氏尊称服务；
10.饮品",有效,,
9H长安,舒享经济舱（R舱）,"XIY-SYX
SYX-XIY
CSX-HRB
HRB-CSX",H/K/L/M/X/V/N/A/U/T（含小舱位）,180元,固定值,,,0,,RXJA,BSP/GP,KMG319/KMG279,"1.免费托运行李额20KG；
2.可免费携带一件7KG且体积不超过20cm*40cm*55cm的非托运行李；
3.客票变更手续费优惠（见自愿变更条款）；
4.积分标准为125%×K；
5.享受会员定级航段标准为1.5个。                                                     客舱、地面服务1.经济舱前三排座位；
2.专属值机柜台（仅限西安机场N21-N23柜台）；
3.优先登机服务(以机场实际保障为准);
4.客舱姓氏尊称服务；
5.饮品一瓶；
6.小吃一份。",有效,,
9H长安,舒享经济舱（R舱）,"XIY-SYX
SYX-XIY
CSX-HRB
HRB-CSX",H/K/L/M/X/V/N/A/U/T（含小舱位）,145元,固定值,,,0,,RXJB,BSP/GP,KMG319/KMG279,"1.免费托运行李额20KG；
2.可免费携带一件7KG且体积不超过20cm*40cm*55cm的非托运行李；
3.客票变更手续费优惠（见自愿变更条款）；
4.积分标准为125%×K；
5.享受会员定级航段标准为1.5个。                                                     客舱、地面服务1.经济舱前三排座位；
2.专属值机柜台（仅限西安机场N21-N23柜台）；
3.优先登机服务(以机场实际保障为准);
4.客舱姓氏尊称服务；
5.饮品一瓶；
7.小吃一份。",有效,,
9H长安,舒享经济舱（R舱）,"XIY-SYX
SYX-XIY
CSX-HRB
HRB-CSX",H/K/L/M/X/V/N/A/U/T（含小舱位）,240元,固定值,,,0,,RGCA,BSP/GP,KMG319/KMG279,"1.免费托运行李额20KG；
2.可免费携带一件7KG且体积不超过20cm*40cm*55cm的非托运行李；
3.客票变更手续费优惠（见自愿变更条款）；
4.积分标准为125%×K；
5.享受会员定级航段标准为1.5个。                                                     客舱、地面服务1.经济舱前三排座位；
2.专属值机柜台（仅限西安机场N21-N23柜台）；
3.优先登机服务(以机场实际保障为准);
4.客舱姓氏尊称服务；
5.饮品一瓶；
8.小吃一份。",有效,,
9H长安,舒享经济舱（R舱）,"XIY-SYX
SYX-XIY
CSX-HRB
HRB-CSX",H/K/L/M/X/V/N/A/U/T（含小舱位）,320元,固定值,,,0,,RGCB,BSP/GP,KMG319/KMG279,"1.免费托运行李额20KG；
2.可免费携带一件7KG且体积不超过20cm*40cm*55cm的非托运行李；
3.客票变更手续费优惠（见自愿变更条款）；
4.积分标准为125%×K；
5.享受会员定级航段标准为1.5个。                                                     客舱、地面服务1.经济舱前三排座位；
2.专属值机柜台（仅限西安机场N21-N23柜台）；
3.优先登机服务(以机场实际保障为准);
4.客舱姓氏尊称服务；
5.饮品一瓶；
9.小吃一份。",有效,,
9H长安,舒享经济舱（R舱）,"XIY-SYX
SYX-XIY
CSX-HRB
HRB-CSX",H/K/L/M/X/V/N/A/U/T（含小舱位）,460元,固定值,,,0,,RGCC,BSP/GP,KMG319/KMG279,"1.免费托运行李额20KG；
2.可免费携带一件7KG且体积不超过20cm*40cm*55cm的非托运行李；
3.客票变更手续费优惠（见自愿变更条款）；
4.积分标准为125%×K；
5.享受会员定级航段标准为1.5个。                                                     客舱、地面服务1.经济舱前三排座位；
2.专属值机柜台（仅限西安机场N21-N23柜台）；
3.优先登机服务(以机场实际保障为准);
4.客舱姓氏尊称服务；
5.饮品一瓶；
10.小吃一份。",有效,,
9H长安,商旅出行,西安、贵阳进出港航线,H/K/L/M/X/V/N/A/U/T(A1/U1/T1),260,固定值,,,165,,SLCX,BSP/GP,KMG319/KMG279,"1.溢价260元产品（品质型接送机服务、20KG行李）适用航线：西安、贵阳进出港航线；  
2.溢价200元产品（优享型接送机服务）适用航线：西安、贵阳进出港航线；  
3.溢价180元产品（增值类服务）适用航线：全航线；",有效,,
9H长安,商旅出行,西安、贵阳进出港航线,H/K/L/M/X/V/N/A/U/T(A1/U1/T2),200,固定值,,,130,,SLCB,BSP/GP,KMG319/KMG279,"1.溢价260元产品（品质型接送机服务、20KG行李）适用航线：西安、贵阳进出港航线；  
2.溢价200元产品（优享型接送机服务）适用航线：西安、贵阳进出港航线；  
3.溢价181元产品（增值类服务）适用航线：全航线；",有效,,
9H长安,商旅出行,西安、贵阳进出港航线,H/K/L/M/X/V/N/A/U/T(A1/U1/T3),180,固定值,,,90,,SLCC,BSP/GP,KMG319/KMG279,"1.溢价260元产品（品质型接送机服务、20KG行李）适用航线：西安、贵阳进出港航线；  
2.溢价200元产品（优享型接送机服务）适用航线：西安、贵阳进出港航线；  
3.溢价182元产品（增值类服务）适用航线：全航线；",有效,,
9H长安,贵宾优享,,H/K/L/M/X/V/N/A/U/T(A1/U1/T1),180,固定值,,,90,,GBYX,BSP/GP,KMG319/KMG279,1.专属值机柜台(仅限西安T3航站楼N21-N22柜台) 2.西安机场长安航空贵宾室服务V36,有效,,
